sparql, precision, recall, fmeasure, evict, memory
7, 1.0, 0.035794183445190156, 0.0691144708423326, 74, 13
10, 1.0, 0.035794183445190156, 0.0691144708423326, 47, 14
9, 1.0, 0.035794183445190156, 0.0691144708423326, 91, 14
6, 1.0, 0.035794183445190156, 0.0691144708423326, 40, 15
16, 1.0, 0.035794183445190156, 0.0691144708423326, 134, 16
7, 1.0, 0.035794183445190156, 0.0691144708423326, 193, 16
9, 1.0, 0.035794183445190156, 0.0691144708423326, 111, 16
8, 1.0, 0.035794183445190156, 0.0691144708423326, 44, 17
9, 1.0, 0.035794183445190156, 0.0691144708423326, 111, 18
10, 1.0, 0.035794183445190156, 0.0691144708423326, 160, 18
9, 1.0, 0.035794183445190156, 0.0691144708423326, 61, 19
9, 1.0, 0.03355704697986577, 0.06493506493506493, 149, 19
10, 1.0, 0.03355704697986577, 0.06493506493506493, 71, 20
8, 1.0, 0.03355704697986577, 0.06493506493506493, 59, 20
9, 1.0, 0.03131991051454139, 0.060737527114967466, 98, 21
9, 1.0, 0.03131991051454139, 0.060737527114967466, 40, 21
9, 1.0, 0.03355704697986577, 0.06493506493506493, 38, 22
9, 1.0, 0.03355704697986577, 0.06493506493506493, 131, 22
8, 1.0, 0.03355704697986577, 0.06493506493506493, 92, 23
7, 1.0, 0.03355704697986577, 0.06493506493506493, 75, 24
8, 1.0, 0.03355704697986577, 0.06493506493506493, 110, 24
9, 1.0, 0.03355704697986577, 0.06493506493506493, 171, 25
8, 1.0, 0.03355704697986577, 0.06493506493506493, 16, 25
8, 1.0, 0.03355704697986577, 0.06493506493506493, 133, 25
10, 1.0, 0.03355704697986577, 0.06493506493506493, 93, 26
7, 1.0, 0.03355704697986577, 0.06493506493506493, 60, 27
8, 1.0, 0.03355704697986577, 0.06493506493506493, 80, 27
9, 1.0, 0.03355704697986577, 0.06493506493506493, 112, 28
10, 1.0, 0.03355704697986577, 0.06493506493506493, 191, 28
9, 1.0, 0.03355704697986577, 0.06493506493506493, 73, 29
10, 1.0, 0.03355704697986577, 0.06493506493506493, 116, 29
9, 1.0, 0.03355704697986577, 0.06493506493506493, 61, 30
9, 1.0, 0.03355704697986577, 0.06493506493506493, 76, 30
8, 1.0, 0.03355704697986577, 0.06493506493506493, 148, 31
10, 1.0, 0.03355704697986577, 0.06493506493506493, 57, 31
9, 1.0, 0.03355704697986577, 0.06493506493506493, 47, 32
9, 1.0, 0.03355704697986577, 0.06493506493506493, 39, 33
9, 1.0, 0.03355704697986577, 0.06493506493506493, 73, 33
8, 1.0, 0.03355704697986577, 0.06493506493506493, 87, 34
7, 1.0, 0.03355704697986577, 0.06493506493506493, 163, 34
9, 1.0, 0.03355704697986577, 0.06493506493506493, 79, 35
8, 1.0, 0.03131991051454139, 0.060737527114967466, 49, 35
8, 1.0, 0.03131991051454139, 0.060737527114967466, 128, 36
10, 1.0, 0.03355704697986577, 0.06493506493506493, 38, 8
9, 1.0, 0.03355704697986577, 0.06493506493506493, 88, 9
8, 1.0, 0.03355704697986577, 0.06493506493506493, 138, 9
9, 1.0, 0.03355704697986577, 0.06493506493506493, 34, 10
9, 1.0, 0.03355704697986577, 0.06493506493506493, 93, 10
9, 1.0, 0.03355704697986577, 0.06493506493506493, 143, 11
9, 1.0, 0.03355704697986577, 0.06493506493506493, 41, 11
8, 1.0, 0.03355704697986577, 0.06493506493506493, 60, 12
9, 1.0, 0.03355704697986577, 0.06493506493506493, 26, 12
9, 1.0, 0.03355704697986577, 0.06493506493506493, 135, 13
11, 1.0, 0.03355704697986577, 0.06493506493506493, 47, 14
8, 1.0, 0.03355704697986577, 0.06493506493506493, 74, 14
8, 1.0, 0.03355704697986577, 0.06493506493506493, 34, 15
9, 1.0, 0.03355704697986577, 0.06493506493506493, 81, 15
9, 1.0, 0.03355704697986577, 0.06493506493506493, 68, 15
8, 1.0, 0.03355704697986577, 0.06493506493506493, 60, 16
9, 1.0, 0.03355704697986577, 0.06493506493506493, 129, 17
9, 1.0, 0.03355704697986577, 0.06493506493506493, 21, 17
9, 1.0, 0.03131991051454139, 0.060737527114967466, 74, 18
11, 1.0, 0.03131991051454139, 0.060737527114967466, 28, 18
10, 1.0, 0.03131991051454139, 0.060737527114967466, 43, 19
